ID,SMILES,pIC50,bioactivity,document_ID,Assay,Journal,Year
CHEMBL106945,C=CCOc1ccc(C2=NC(C(=O)NO)CO2)cc1C(F)(F)F,5.66,inactive,CHEMBL1135994,Inhibition of Pseudomonas aeruginosa UDP-3-O-acyl-N-acetylglucosamine Deacetylase (LpxC) in vitro.,J. Med. Chem.,2002
CHEMBL106989,C=CCCOc1ccc(C2=NC(C(=O)NO)CO2)cc1,5.25,inactive,CHEMBL1135994,Inhibition of Pseudomonas aeruginosa UDP-3-O-acyl-N-acetylglucosamine Deacetylase (LpxC) in vitro.,J. Med. Chem.,2002
CHEMBL107004,O=C(NO)C1COC(c2[nH]nc3ccccc23)=N1,5.26,inactive,CHEMBL1135994,Inhibition of Pseudomonas aeruginosa UDP-3-O-acyl-N-acetylglucosamine Deacetylase (LpxC) in vitro.,J. Med. Chem.,2002
CHEMBL107127,O=C(NO)C1CSC(c2ccc(OC(F)(F)F)cc2)=N1,4.66,inactive,CHEMBL1135994,Inhibition of Pseudomonas aeruginosa UDP-3-O-acyl-N-acetylglucosamine Deacetylase (LpxC) in vitro.,J. Med. Chem.,2002
CHEMBL107152,O=C(NO)C1COC(c2ccc(COc3cccc([N+](=O)[O-])c3)cc2)=N1,6.25,inactive,CHEMBL1135994,Inhibition of Pseudomonas aeruginosa UDP-3-O-acyl-N-acetylglucosamine Deacetylase (LpxC) in vitro.,J. Med. Chem.,2002
CHEMBL107588,C=CCCOc1ccc(C(=O)NC(CO)C(=O)NO)cc1,5.41,inactive,CHEMBL1135994,Inhibition of Pseudomonas aeruginosa UDP-3-O-acyl-N-acetylglucosamine Deacetylase (LpxC) in vitro.,J. Med. Chem.,2002
CHEMBL107909,CCCc1cc(C2=NC(C(=O)NO)CS2)cc(OC(F)(F)F)c1OC,4.75,inactive,CHEMBL1135994,Inhibition of Pseudomonas aeruginosa UDP-3-O-acyl-N-acetylglucosamine Deacetylase (LpxC) in vitro.,J. Med. Chem.,2002
CHEMBL107950,O=C(NO)C1COC(c2ccc(OCc3cccc(C(F)(F)F)c3)c(F)c2)=N1,6.08,inactive,CHEMBL1135994,Inhibition of Pseudomonas aeruginosa UDP-3-O-acyl-N-acetylglucosamine Deacetylase (LpxC) in vitro.,J. Med. Chem.,2002
CHEMBL108104,C=CCOc1ccc(C(=O)NC(CO)C(=O)NO)cc1OC(F)(F)F,5.12,inactive,CHEMBL1135994,Inhibition of Pseudomonas aeruginosa UDP-3-O-acyl-N-acetylglucosamine Deacetylase (LpxC) in vitro.,J. Med. Chem.,2002
CHEMBL108105,CC(F)(F)Oc1ccc(C(=O)NC(CO)C(=O)NO)cc1,5.81,inactive,CHEMBL1135994,Inhibition of Pseudomonas aeruginosa UDP-3-O-acyl-N-acetylglucosamine Deacetylase (LpxC) in vitro.,J. Med. Chem.,2002
CHEMBL108276,CCOc1cc(C(=O)NC(CO)C(=O)NO)ccc1F,4.34,inactive,CHEMBL1135994,Inhibition of Pseudomonas aeruginosa UDP-3-O-acyl-N-acetylglucosamine Deacetylase (LpxC) in vitro.,J. Med. Chem.,2002
CHEMBL108902,COc1ccc(C2=NC(C(=O)NO)CO2)cc1OC(F)(F)F,6.8,inactive,CHEMBL1135994,Inhibition of Pseudomonas aeruginosa UDP-3-O-acyl-N-acetylglucosamine Deacetylase (LpxC) in vitro.,J. Med. Chem.,2002
CHEMBL1956104,C[C@@](CCc1ccc(-c2ccccc2F)cc1)(C(=O)NO)S(C)(=O)=O,8.87,active,CHEMBL1955743,Inhibition of Pseudomonas aeruginosa LpxC using UDP-3-O-(R-hydroxydecanoyl)-N-acetylglucosamine incubated for 30 mins prior to substrate addition measured after 60 mins by mass spectrophotometry,J. Med. Chem.,2012
CHEMBL1956105,COc1ccccc1-c1ccc(CC[C@](C)(C(=O)NO)S(C)(=O)=O)cc1,8.15,active,CHEMBL1955743,Inhibition of Pseudomonas aeruginosa LpxC using UDP-3-O-(R-hydroxydecanoyl)-N-acetylglucosamine incubated for 30 mins prior to substrate addition measured after 60 mins by mass spectrophotometry,J. Med. Chem.,2012
CHEMBL1956113,C[C@@](CCc1ccc(Sc2ccccc2)cc1)(C(=O)NO)S(C)(=O)=O,7.52,intermediate,CHEMBL1955743,Inhibition of Pseudomonas aeruginosa LpxC using UDP-3-O-(R-hydroxydecanoyl)-N-acetylglucosamine incubated for 30 mins prior to substrate addition measured after 60 mins by mass spectrophotometry,J. Med. Chem.,2012
CHEMBL1956114,C[C@@](CCc1ccc(-c2cccnc2)cc1)(C(=O)NO)S(C)(=O)=O,7.53,intermediate,CHEMBL1955743,Inhibition of Pseudomonas aeruginosa LpxC using UDP-3-O-(R-hydroxydecanoyl)-N-acetylglucosamine incubated for 30 mins prior to substrate addition measured after 60 mins by mass spectrophotometry,J. Med. Chem.,2012
CHEMBL1956115,C[C@@](CCc1ccc(-c2ccccc2)cc1)(C(=O)NO)S(C)(=O)=O,8.86,active,CHEMBL1955743,Inhibition of Pseudomonas aeruginosa LpxC using UDP-3-O-(R-hydroxydecanoyl)-N-acetylglucosamine incubated for 30 mins prior to substrate addition measured after 60 mins by mass spectrophotometry,J. Med. Chem.,2012
CHEMBL1956117,CS(=O)(=O)C(CCc1ccc(-c2ccccc2)cc1)C(=O)NO,7.86,intermediate,CHEMBL1955743,Inhibition of Pseudomonas aeruginosa LpxC using UDP-3-O-(R-hydroxydecanoyl)-N-acetylglucosamine incubated for 30 mins prior to substrate addition measured after 60 mins by mass spectrophotometry,J. Med. Chem.,2012
CHEMBL1956120,CC(CSc1ccc(-c2ccccc2)cc1)(C(=O)NO)S(C)(=O)=O,8.04,active,CHEMBL1955743,Inhibition of Pseudomonas aeruginosa LpxC using UDP-3-O-(R-hydroxydecanoyl)-N-acetylglucosamine incubated for 30 mins prior to substrate addition measured after 60 mins by mass spectrophotometry,J. Med. Chem.,2012
CHEMBL1956121,CC(CS(=O)(=O)c1ccc(-c2ccccc2)cc1)(C(=O)NO)S(C)(=O)=O,7.92,intermediate,CHEMBL1955743,Inhibition of Pseudomonas aeruginosa LpxC using UDP-3-O-(R-hydroxydecanoyl)-N-acetylglucosamine incubated for 30 mins prior to substrate addition measured after 60 mins by mass spectrophotometry,J. Med. Chem.,2012
CHEMBL1956122,CC(COc1ccc(-c2ccccc2)cc1)(C(=O)NO)S(C)(=O)=O,7.5,intermediate,CHEMBL1955743,Inhibition of Pseudomonas aeruginosa LpxC using UDP-3-O-(R-hydroxydecanoyl)-N-acetylglucosamine incubated for 30 mins prior to substrate addition measured after 60 mins by mass spectrophotometry,J. Med. Chem.,2012
CHEMBL1956123,CCc1ccccc1-c1ccc(CC[C@](C)(C(=O)NO)S(C)(=O)=O)cc1,7.58,intermediate,CHEMBL1955743,Inhibition of Pseudomonas aeruginosa LpxC using UDP-3-O-(R-hydroxydecanoyl)-N-acetylglucosamine incubated for 30 mins prior to substrate addition measured after 60 mins by mass spectrophotometry,J. Med. Chem.,2012
CHEMBL1956125,C[C@@](CCc1ccc(-c2cccc(Cl)c2)cc1)(C(=O)NO)S(C)(=O)=O,8.45,active,CHEMBL1955743,Inhibition of Pseudomonas aeruginosa LpxC using UDP-3-O-(R-hydroxydecanoyl)-N-acetylglucosamine incubated for 30 mins prior to substrate addition measured after 60 mins by mass spectrophotometry,J. Med. Chem.,2012
CHEMBL1956126,CC(C)c1cccc(-c2ccc(CC[C@](C)(C(=O)NO)S(C)(=O)=O)cc2)c1,8.17,active,CHEMBL1955743,Inhibition of Pseudomonas aeruginosa LpxC using UDP-3-O-(R-hydroxydecanoyl)-N-acetylglucosamine incubated for 30 mins prior to substrate addition measured after 60 mins by mass spectrophotometry,J. Med. Chem.,2012
CHEMBL1956127,C[C@@](CCc1ccc(-c2cccc(-n3cccn3)c2)cc1)(C(=O)NO)S(C)(=O)=O,7.66,intermediate,CHEMBL1955743,Inhibition of Pseudomonas aeruginosa LpxC using UDP-3-O-(R-hydroxydecanoyl)-N-acetylglucosamine incubated for 30 mins prior to substrate addition measured after 60 mins by mass spectrophotometry,J. Med. Chem.,2012
CHEMBL1956128,C[C@@](CCc1ccc(-c2cccc(C(N)=O)c2)cc1)(C(=O)NO)S(C)(=O)=O,7.56,intermediate,CHEMBL1955743,Inhibition of Pseudomonas aeruginosa LpxC using UDP-3-O-(R-hydroxydecanoyl)-N-acetylglucosamine incubated for 30 mins prior to substrate addition measured after 60 mins by mass spectrophotometry,J. Med. Chem.,2012
CHEMBL1956130,C[C@@](CCc1ccc(-c2ccc(F)cc2)cc1)(C(=O)NO)S(C)(=O)=O,8.76,active,CHEMBL1955743,Inhibition of Pseudomonas aeruginosa LpxC using UDP-3-O-(R-hydroxydecanoyl)-N-acetylglucosamine incubated for 30 mins prior to substrate addition measured after 60 mins by mass spectrophotometry,J. Med. Chem.,2012
CHEMBL1956131,C[C@@](CCc1ccc(-c2ccc(C#N)cc2)cc1)(C(=O)NO)S(C)(=O)=O,9.87,potent,CHEMBL3638721,"Enzyme Assay: IC50 determination in the LpxC enzyme assay was carried out in a similar manner to that described by Malikzay et al in the 2006 Poster, Screening LpxC (UDP-3-O(R-3-hydroxymyristoyl)-GlcNAc deacetylase) using BioTrove Rapid Fire HTS Mass Spectrometry (aNew Lead Discovery and bInflammation and Infectious Disease, cStructural Chemistry, Schering-Plough Research Institute, Kenilworth, N.J. 07033, (BioTrove, Inc. 12 Gill St., Suite 4000, Woburn, Mass. 01801). Briefly, Pseudomonas aeruginosa LpxC enzyme (0.1 nM) purified from E. coli-overexpressing bacteria was incubated at 25° C. in a final volume of 50 ul containing 0.5 uM UDP-3-O(R-3-hydroxydecanoyl)-N-acetylglucosamine, 1 mg/mL BSA, and 50 mM sodium phosphate buffer, pH 8.0 in the presence and absence of inhibitor compound. At the end of 1 hour, 5 ul of 1N HCl was added to stop the enzyme reaction; the plates were centrifuged, and then processed with the BioTrove Rapidfire HTMS Mass Spectrometry System.",,2014
CHEMBL1956134,CC(CCc1ccc(OCc2ccccc2)cc1)(C(=O)NO)S(C)(=O)=O,8.29,active,CHEMBL1955743,Inhibition of Pseudomonas aeruginosa LpxC using UDP-3-O-(R-hydroxydecanoyl)-N-acetylglucosamine incubated for 30 mins prior to substrate addition measured after 60 mins by mass spectrophotometry,J. Med. Chem.,2012
CHEMBL1956136,CC(CCc1ccc(OC2CCCC2)cc1)(C(=O)NO)S(C)(=O)=O,8,active,CHEMBL1955743,Inhibition of Pseudomonas aeruginosa LpxC using UDP-3-O-(R-hydroxydecanoyl)-N-acetylglucosamine incubated for 30 mins prior to substrate addition measured after 60 mins by mass spectrophotometry,J. Med. Chem.,2012
CHEMBL1956137,CC(CCc1ccc(OCc2ccncc2)cc1)(C(=O)NO)S(C)(=O)=O,7.67,intermediate,CHEMBL1955743,Inhibition of Pseudomonas aeruginosa LpxC using UDP-3-O-(R-hydroxydecanoyl)-N-acetylglucosamine incubated for 30 mins prior to substrate addition measured after 60 mins by mass spectrophotometry,J. Med. Chem.,2012
CHEMBL1956138,CC(CCc1ccc(OCc2cc[n+]([O-])cc2)cc1)(C(=O)NO)S(C)(=O)=O,7.03,intermediate,CHEMBL1955743,Inhibition of Pseudomonas aeruginosa LpxC using UDP-3-O-(R-hydroxydecanoyl)-N-acetylglucosamine incubated for 30 mins prior to substrate addition measured after 60 mins by mass spectrophotometry,J. Med. Chem.,2012
CHEMBL1956139,C[C@@](CCc1ccc(-c2ccc(C(=O)O)cc2)cc1)(C(=O)NO)S(C)(=O)=O,7.13,intermediate,CHEMBL1955743,Inhibition of Pseudomonas aeruginosa LpxC using UDP-3-O-(R-hydroxydecanoyl)-N-acetylglucosamine incubated for 30 mins prior to substrate addition measured after 60 mins by mass spectrophotometry,J. Med. Chem.,2012
CHEMBL1956140,C[C@@](CCc1ccc(-c2ccc(OCCCC(=O)O)cc2)cc1)(C(=O)NO)S(C)(=O)=O,7.67,intermediate,CHEMBL1955743,Inhibition of Pseudomonas aeruginosa LpxC using UDP-3-O-(R-hydroxydecanoyl)-N-acetylglucosamine incubated for 30 mins prior to substrate addition measured after 60 mins by mass spectrophotometry,J. Med. Chem.,2012
CHEMBL1956141,C[C@@](CCc1ccc(-c2ccc(CN)cc2)cc1)(C(=O)NO)S(C)(=O)=O,7.89,intermediate,CHEMBL1955743,Inhibition of Pseudomonas aeruginosa LpxC using UDP-3-O-(R-hydroxydecanoyl)-N-acetylglucosamine incubated for 30 mins prior to substrate addition measured after 60 mins by mass spectrophotometry,J. Med. Chem.,2012
CHEMBL1956142,CC(CCc1ccc(-c2ccc(OCCCN)cc2)cc1)(C(=O)NO)S(C)(=O)=O,7.9,intermediate,CHEMBL1955743,Inhibition of Pseudomonas aeruginosa LpxC using UDP-3-O-(R-hydroxydecanoyl)-N-acetylglucosamine incubated for 30 mins prior to substrate addition measured after 60 mins by mass spectrophotometry,J. Med. Chem.,2012
CHEMBL1956143,CC(CCc1ccc(-c2ccc(OCCCNC(=N)N)cc2)cc1)(C(=O)NO)S(C)(=O)=O,8.02,active,CHEMBL1955743,Inhibition of Pseudomonas aeruginosa LpxC using UDP-3-O-(R-hydroxydecanoyl)-N-acetylglucosamine incubated for 30 mins prior to substrate addition measured after 60 mins by mass spectrophotometry,J. Med. Chem.,2012
CHEMBL1956144,C[C@@](CCc1ccc(-c2ccc(OCCCN3CCOCC3)cc2)cc1)(C(=O)NO)S(C)(=O)=O,9.76,potent,CHEMBL3638721,"Enzyme Assay: IC50 determination in the LpxC enzyme assay was carried out in a similar manner to that described by Malikzay et al in the 2006 Poster, Screening LpxC (UDP-3-O(R-3-hydroxymyristoyl)-GlcNAc deacetylase) using BioTrove Rapid Fire HTS Mass Spectrometry (aNew Lead Discovery and bInflammation and Infectious Disease, cStructural Chemistry, Schering-Plough Research Institute, Kenilworth, N.J. 07033, (BioTrove, Inc. 12 Gill St., Suite 4000, Woburn, Mass. 01801). Briefly, Pseudomonas aeruginosa LpxC enzyme (0.1 nM) purified from E. coli-overexpressing bacteria was incubated at 25° C. in a final volume of 50 ul containing 0.5 uM UDP-3-O(R-3-hydroxydecanoyl)-N-acetylglucosamine, 1 mg/mL BSA, and 50 mM sodium phosphate buffer, pH 8.0 in the presence and absence of inhibitor compound. At the end of 1 hour, 5 ul of 1N HCl was added to stop the enzyme reaction; the plates were centrifuged, and then processed with the BioTrove Rapidfire HTMS Mass Spectrometry System.",,2014
CHEMBL1956145,C[C@@](CCc1ccc(-c2ccc3c(c2)OCO3)cc1)(C(=O)NO)S(C)(=O)=O,8.92,active,CHEMBL1955743,Inhibition of Pseudomonas aeruginosa LpxC using UDP-3-O-(R-hydroxydecanoyl)-N-acetylglucosamine incubated for 30 mins prior to substrate addition measured after 60 mins by mass spectrophotometry,J. Med. Chem.,2012
CHEMBL1956146,C[C@@](CCc1ccc(-c2ccc(O)cc2)cc1)(C(=O)NO)S(C)(=O)=O,8.43,active,CHEMBL1955743,Inhibition of Pseudomonas aeruginosa LpxC using UDP-3-O-(R-hydroxydecanoyl)-N-acetylglucosamine incubated for 30 mins prior to substrate addition measured after 60 mins by mass spectrophotometry,J. Med. Chem.,2012
CHEMBL1956148,C[C@@](CCc1ccc(-c2ccc(C(=O)CO)cc2)cc1)(C(=O)NO)S(C)(=O)=O,8.73,active,CHEMBL1955743,Inhibition of Pseudomonas aeruginosa LpxC using UDP-3-O-(R-hydroxydecanoyl)-N-acetylglucosamine incubated for 30 mins prior to substrate addition measured after 60 mins by mass spectrophotometry,J. Med. Chem.,2012
CHEMBL2012182,CCc1ccc(-c2ccc(C(=O)N[C@H](C(=O)NO)[C@@H](C)O)cc2)cc1,8.1,active,CHEMBL2010716,Inhibition of Pseudomonas aeruginosa LpxC,Bioorg. Med. Chem. Lett.,2012
CHEMBL2012183,CC(CO)(NC(=O)c1ccc(-c2ccccc2)cc1)C(=O)NO,6.54,inactive,CHEMBL2010716,Inhibition of Pseudomonas aeruginosa LpxC,Bioorg. Med. Chem. Lett.,2012
CHEMBL2012184,CC(CO)(COc1ccc(-c2ccccc2)cc1)C(=O)NO,6.41,inactive,CHEMBL2010716,Inhibition of Pseudomonas aeruginosa LpxC,Bioorg. Med. Chem. Lett.,2012
CHEMBL2012185,CC(CO)(OCc1ccc(-c2ccccc2)cc1)C(=O)NO,7.66,intermediate,CHEMBL2010716,Inhibition of Pseudomonas aeruginosa LpxC,Bioorg. Med. Chem. Lett.,2012
CHEMBL2012186,CC(CO)(CCc1ccc(-c2ccccc2)cc1)C(=O)NO,8.48,active,CHEMBL2010716,Inhibition of Pseudomonas aeruginosa LpxC,Bioorg. Med. Chem. Lett.,2012
CHEMBL2012187,C[C@H](O)[C@](C)(OCc1ccc(-c2ccccc2)cc1)C(=O)NO,8.52,active,CHEMBL2010716,Inhibition of Pseudomonas aeruginosa LpxC,Bioorg. Med. Chem. Lett.,2012
CHEMBL2012188,C[C@@H](O)[C@](C)(OCc1ccc(-c2ccccc2)cc1)C(=O)NO,8.4,active,CHEMBL2010716,Inhibition of Pseudomonas aeruginosa LpxC,Bioorg. Med. Chem. Lett.,2012
CHEMBL2012189,CC[C@H](O)[C@@](C)(OCc1ccc(-c2ccccc2)cc1)C(=O)NO,8.1,active,CHEMBL2010716,Inhibition of Pseudomonas aeruginosa LpxC,Bioorg. Med. Chem. Lett.,2012
CHEMBL2012190,CC(C)[C@H](O)[C@](C)(OCc1ccc(-c2ccccc2)cc1)C(=O)NO,7.14,intermediate,CHEMBL2010716,Inhibition of Pseudomonas aeruginosa LpxC,Bioorg. Med. Chem. Lett.,2012
CHEMBL2012191,CC(C)C[C@H](O)[C@](C)(OCc1ccc(-c2ccccc2)cc1)C(=O)NO,6.8,inactive,CHEMBL2010716,Inhibition of Pseudomonas aeruginosa LpxC,Bioorg. Med. Chem. Lett.,2012
CHEMBL2012192,CCCC[C@H](O)[C@](C)(OCc1ccc(-c2ccccc2)cc1)C(=O)NO,7.05,intermediate,CHEMBL2010716,Inhibition of Pseudomonas aeruginosa LpxC,Bioorg. Med. Chem. Lett.,2012
CHEMBL2012193,CCOCC[C@H](O)[C@](C)(OCc1ccc(-c2ccccc2)cc1)C(=O)NO,7.55,intermediate,CHEMBL2010716,Inhibition of Pseudomonas aeruginosa LpxC,Bioorg. Med. Chem. Lett.,2012
CHEMBL2012194,C[C@@](OCc1ccc(-c2ccccc2)cc1)(C(=O)NO)[C@@H](O)c1ccccc1,7.29,intermediate,CHEMBL2010716,Inhibition of Pseudomonas aeruginosa LpxC,Bioorg. Med. Chem. Lett.,2012
CHEMBL2012195,C[C@@](OCc1ccc(-c2ccccc2)cc1)(C(=O)NO)[C@@H](O)c1cccnc1,7.75,intermediate,CHEMBL2010716,Inhibition of Pseudomonas aeruginosa LpxC,Bioorg. Med. Chem. Lett.,2012
CHEMBL2012196,C[C@](OCc1ccc(-c2ccccc2)cc1)(C(=O)NO)[C@@H](O)c1ccccn1,7.82,intermediate,CHEMBL2010716,Inhibition of Pseudomonas aeruginosa LpxC,Bioorg. Med. Chem. Lett.,2012
CHEMBL2012197,Cn1nncc1[C@H](O)[C@](C)(OCc1ccc(-c2ccccc2)cc1)C(=O)NO,7.58,intermediate,CHEMBL2010716,Inhibition of Pseudomonas aeruginosa LpxC,Bioorg. Med. Chem. Lett.,2012
CHEMBL2012198,Cn1ccnc1[C@H](O)[C@](C)(OCc1ccc(-c2ccccc2)cc1)C(=O)NO,7.6,intermediate,CHEMBL2010716,Inhibition of Pseudomonas aeruginosa LpxC,Bioorg. Med. Chem. Lett.,2012
CHEMBL2012199,C[C@@](OCc1ccc(-c2ccccc2)cc1)(C(=O)NO)[C@@H](O)c1c[nH]cn1,9.1,potent,CHEMBL2010716,Inhibition of Pseudomonas aeruginosa LpxC,Bioorg. Med. Chem. Lett.,2012
CHEMBL2012200,C[C@@](OCc1ccc(-c2ccccc2)cc1)(C(=O)NO)[C@@H](O)c1ccn[nH]1,9.4,potent,CHEMBL2010716,Inhibition of Pseudomonas aeruginosa LpxC,Bioorg. Med. Chem. Lett.,2012
CHEMBL2012201,C[C@@](OCc1ccc(-c2ccccc2)cc1)(C(=O)NO)[C@@H](O)c1ncco1,8.52,active,CHEMBL2010716,Inhibition of Pseudomonas aeruginosa LpxC,Bioorg. Med. Chem. Lett.,2012
CHEMBL2012202,C[C@@](OCc1ccc(-c2ccccc2)cc1)(C(=O)NO)[C@@H](O)c1ccno1,9.1,potent,CHEMBL2010716,Inhibition of Pseudomonas aeruginosa LpxC,Bioorg. Med. Chem. Lett.,2012
CHEMBL2012203,C[C@@](OCc1ccc(-c2ccccc2)cc1)(C(=O)NO)[C@@H](O)c1ccon1,9.4,potent,CHEMBL2010716,Inhibition of Pseudomonas aeruginosa LpxC,Bioorg. Med. Chem. Lett.,2012
CHEMBL2012204,Cc1cc([C@H](O)[C@](C)(OCc2ccc(-c3ccccc3)cc2)C(=O)NO)no1,9.43,potent,CHEMBL2010716,Inhibition of Pseudomonas aeruginosa LpxC,Bioorg. Med. Chem. Lett.,2012
CHEMBL2012205,C[C@@](OCc1ccc(-c2ccccc2)cc1)(C(=O)NO)[C@@H](O)c1cc(CO)on1,9.22,potent,CHEMBL2010716,Inhibition of Pseudomonas aeruginosa LpxC,Bioorg. Med. Chem. Lett.,2012
CHEMBL2012206,CC(C)(OCc1ccc(-c2ccccc2)cc1)C(=O)NO,6.51,inactive,CHEMBL2010716,Inhibition of Pseudomonas aeruginosa LpxC,Bioorg. Med. Chem. Lett.,2012
CHEMBL2021944,COc1ncc(-c2ccc(-c3ccn(CC[C@](C)(C(=O)NO)S(C)(=O)=O)c(=O)c3)cc2)cn1,8.7,active,CHEMBL2021790,Inhibition of Pseudomonas aeruginosa LpxC expressed in Escherichia coli using UDP-3-O-N-acetylglucosamine substrate measured after 30 mins by mass spectrometry,J. Med. Chem.,2012
CHEMBL2023127,CC(CCc1ccc(-c2ccccc2)cn1)(C(=O)NO)S(C)(=O)=O,7.89,intermediate,CHEMBL2021790,Inhibition of Pseudomonas aeruginosa LpxC expressed in Escherichia coli using UDP-3-O-N-acetylglucosamine substrate measured after 30 mins by mass spectrometry,J. Med. Chem.,2012
CHEMBL2023128,CC(CCc1ccc(-c2ccccc2)nc1)(C(=O)NO)S(C)(=O)=O,7.31,intermediate,CHEMBL2021790,Inhibition of Pseudomonas aeruginosa LpxC expressed in Escherichia coli using UDP-3-O-N-acetylglucosamine substrate measured after 30 mins by mass spectrometry,J. Med. Chem.,2012
CHEMBL2023130,CC(CCc1ccc(-c2ccccc2)nc1O)(C(=O)NO)S(C)(=O)=O,7.28,intermediate,CHEMBL2021790,Inhibition of Pseudomonas aeruginosa LpxC expressed in Escherichia coli using UDP-3-O-N-acetylglucosamine substrate measured after 30 mins by mass spectrometry,J. Med. Chem.,2012
